id,aspect_ratio,diameter,height_ratio,sphericity,symmetry_concave,symmetry_hull,symmetry_total,thickness,unmachinable,volume_ratio,is_lathe
000F30B,0.23016284,0.08552657,0.31025174,0.17158348,0.60642743,0.60359754,0.60010241,0.19176926,0.00000000,0.31024182,0
B75E,0.74341570,0.23509375,0.40645244,0.37069499,0.53938159,0.38505790,0.48399913,0.04941681,0.00000000,0.40426174,0
000FF81,0.91917216,0.62558538,0.07608422,0.04779140,0.49993316,0.23369719,0.29963054,0.03043478,1.00000000,0.06365494,0
0010C68,0.74133338,0.04687500,0.67446039,0.38013688,0.53241298,0.44159476,0.54537911,0.04834783,0.00000000,0.29069670,0
001044B,0.96434075,0.12963805,0.75212283,0.28303021,0.64824207,0.42177285,0.64763074,0.06540996,0.00000000,0.13487681,0
000FF83,0.93141994,0.29685039,0.65331840,0.47696038,0.42334432,0.48371573,0.35073355,0.12566091,0.00000000,0.43716165,0
000FF82,0.93143482,0.31869119,0.66981274,0.47201006,0.32846745,0.51366316,0.34513042,0.13831462,0.00000000,0.42793245,0
0010B91,0.43668810,0.03578125,0.45800000,0.49619497,0.71978372,0.56517972,0.59935721,0.05434783,0.00000000,0.76303145,0
0010B8D,0.83780750,0.05650000,0.74709283,0.52895940,0.66413292,0.47205010,0.59257065,0.05260972,0.00000000,0.48882539,0
00118AC,0.22680713,0.06889764,0.31140175,0.39019625,0.69351983,0.60181076,0.62563482,0.15391304,0.00000000,0.58749199,0
001097A,0.86595616,0.26994420,0.60022422,0.60037331,0.72033885,0.43688092,0.47356152,0.09760579,0.00000000,0.78884446,0
001097B,0.86592148,0.26995501,0.60021362,0.59753754,0.72672709,0.43812648,0.47648398,0.09760406,0.00000000,0.78452907,0
0010B36,0.97142854,0.54687500,0.05882353,0.31142555,0.53793462,0.26930935,0.48784832,0.02173913,0.00000000,0.41269538,0
0011199,0.99999980,0.04687501,0.25000005,0.44388041,0.59977593,0.40377691,0.51228320,0.13043478,0.00000000,0.78513877,0
001123C,0.50000000,0.17962598,0.44242400,0.41326533,0.66144630,0.60605993,0.63051692,0.28243768,0.00000000,0.52543442,0
00112E1,0.52112182,0.04797343,0.60098214,0.55721914,0.48445364,0.49949266,0.49072684,0.05553047,0.00000000,0.71421867,0
000F79F,0.61573437,0.11798056,0.42810127,0.27712164,0.60294796,0.56908780,0.62433039,0.19171500,0.00000000,0.34144935,0
000F79E,0.58409093,0.10826772,0.21400778,0.35191931,0.49677211,0.41964727,0.44753545,0.00941458,0.00000000,0.63798706,0
000F7A2,0.56896552,0.07135827,0.21212121,0.43752756,0.53913680,0.43798697,0.44657359,0.00599110,0.00000000,0.81878190,0
0010795,0.82680489,0.28638016,0.34223758,0.31126268,0.75669315,0.50245311,0.72997574,0.05637231,1.00000000,0.19765724,0
